specification_id,scope,cluster,feature
3,cluster_4,4,short_term_debt_percent_of_exports_of_goods_services_and_primary_income
3,cluster_4,4,net_oda_received_percent_of_imports_of_goods_services_and_primary_income
3,cluster_4,4,total_debt_service_percent_of_exports_of_goods_services_and_primary_income
3,cluster_4,4,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income
3,cluster_4,4,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income
4,cluster_3,3,short_term_debt_percent_of_exports_of_goods_services_and_primary_income
4,cluster_3,3,net_oda_received_percent_of_imports_of_goods_services_and_primary_income
4,cluster_3,3,total_debt_service_percent_of_exports_of_goods_services_and_primary_income
4,cluster_3,3,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income
4,cluster_3,3,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income
5,cluster_4,4,short_term_debt_percent_of_exports_of_goods_services_and_primary_income
5,cluster_4,4,net_oda_received_percent_of_imports_of_goods_services_and_primary_income
5,cluster_4,4,total_debt_service_percent_of_exports_of_goods_services_and_primary_income
5,cluster_4,4,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income
5,cluster_4,4,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income
10,cluster_3,3,short_term_debt_percent_of_exports_of_goods_services_and_primary_income
10,cluster_3,3,net_oda_received_percent_of_imports_of_goods_services_and_primary_income
10,cluster_3,3,total_debt_service_percent_of_exports_of_goods_services_and_primary_income
10,cluster_3,3,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income
10,cluster_3,3,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income
